x,y,z,yaw,velocity,change_flag
-24.237,-0.6604,0.4559,-0.0237,2.5735,0
-23.1585,-0.5499,0.4262,0.1257,3.261,0
-22.057,-0.4269,0.3295,0.1099,5.5678,0
-21.0054,-0.3193,0.3007,0.0889,5.2569,0
-19.9912,-0.2079,0.3345,0.0738,2.4505,0
-18.9183,-0.1701,0.2969,0.0624,7.4161,0
-17.8619,-0.0834,0.3827,0.0674,4.1391,0
-16.8336,-0.0499,0.3283,0.0485,3.2934,0
-15.7876,-0.0145,0.2666,-0.0028,3.1798,0
-14.7242,-0.0805,0.2493,0.0068,5.5287,0
-13.6489,-0.047,0.197,-0.0023,4.6228,0
-12.4603,-0.054,0.2318,-0.0075,6.8617,0
-11.4057,-0.086,0.1092,-0.0138,7.2854,0
-10.3412,-0.1404,0.1857,-0.0118,6.0422,0
-9.3159,-0.1669,0.1044,-0.0143,2.0016,0
-8.2396,-0.2576,0.1312,-0.013,4.9765,0
-7.2163,-0.2988,0.0851,-0.0119,2.1789,0
-6.1743,-0.3217,0.0686,-0.0307,2.8392,0
-5.1744,-0.4063,0.1176,-0.0339,2.4866,0
-4.1127,-0.4543,0.0994,-0.0317,3.4808,0
-3.0385,-0.4779,0.0498,-0.042,3.6163,0
-2.0271,-0.5513,0.0105,-0.0547,2.9128,0
-1.0151,-0.6404,0.0763,-0.0661,4.0198,0
1.7121,-0.6455,-0.0286,-0.075,1.8609,0
2.7803,-0.6933,-0.0258,-0.0889,4.0119,0
3.7881,-0.7665,-0.0374,-0.0883,2.0161,0
4.8497,-0.8607,-0.0758,-0.0844,3.002,0
5.8472,-0.9759,-0.0417,-0.0845,4.4134,0
6.8801,-1.0704,-0.027,-0.0922,4.1227,0
7.881,-1.1894,-0.0941,-0.1061,1.5129,0
8.8781,-1.2751,-0.1065,0.23,1.5662,0
9.8641,-1.0784,-0.0785,0.244,2.0776,0
10.8753,-0.9004,-0.0541,0.1161,2.6807,0
11.9125,-0.9861,-0.0331,-0.2142,2.4394,0
12.9299,-1.0622,-0.0553,0.0327,1.2743,0
13.9543,-1.0391,-0.0464,0.042,2.7573,0
14.9662,-0.9452,-0.0855,0.0518,2.2166,0
15.9953,-0.9252,-0.0627,0.0345,1.9258,0
17,-0.9143,-0.1173,0.044,3.1338,0
18.0038,-0.8399,-0.1237,0.0398,2.906,0
19.0361,-0.8054,-0.1248,0.0428,3.8421,0
20.0357,-0.7756,-0.1043,0.0319,1.5324,0
21.0399,-0.7965,-0.0646,0.0561,2.2596,0
21.8885,-0.2594,-0.0661,0.4468,8.1815,0
22.2131,0.6949,-0.0173,1.4287,2.0794,0
22.3936,1.7466,0.0424,1.4118,2.4433,0
22.5708,2.789,0.1192,1.4122,2.6326,0
22.7279,3.8131,0.1513,1.407,1.4937,0
22.7866,4.83,0.2417,1.6753,1.7275,0
22.6818,5.8349,0.2616,1.6754,2.7267,0
22.6024,6.8353,0.3012,1.6828,3.4599,0
22.4851,7.8725,0.4234,1.6698,1.8507,0
22.4147,8.9015,0.442,1.6539,2.8284,0
22.2955,9.9614,0.4506,1.6629,3.9434,0
22.1856,10.9715,0.5274,1.6569,2.9977,0
22.1097,11.9935,0.5605,1.6217,1.2324,0
22.1401,13.0617,0.6308,1.5521,3.8907,0
22.1691,14.0779,0.7356,1.5636,2.498,0
22.2817,15.0933,0.7497,1.5152,3.1882,0
22.3203,16.1154,0.8302,1.5315,1.5636,0
22.3425,17.1155,0.8771,1.535,0.6232,0
21.4699,17.6068,0.9312,3.0928,2.9186,0
20.4705,17.6499,0.9346,3.089,2.7502,0
19.4771,17.7935,0.9579,3.0501,3.4648,0
18.4374,17.859,0.9314,-3.0506,4.3113,0
17.4105,17.8289,1.0463,-3.0523,6.3785,0
16.3597,17.7307,1.0682,-3.0553,4.601,0
15.3229,17.6356,1.0964,-3.0619,5.4785,0
14.3149,17.5606,1.1042,-3.0593,4.7842,0
13.3072,17.5858,1.1803,-3.0915,4.7685,0
12.2376,17.5731,1.215,-3.1079,2.7221,0
11.1711,17.4976,1.1978,-3.1091,3.2581,0
10.1321,17.5785,1.196,-3.1096,8.1898,0
9.1321,17.5522,1.3456,-3.1184,6.7308,0
8.0668,17.5035,1.2524,-3.1316,2.8799,0
7.0613,17.5843,1.3251,-3.1342,2.6696,0
6.0592,17.6176,1.3782,-3.1404,4.5447,0
5.0396,17.6808,1.3981,-3.1395,2.0509,0
4.0373,17.7239,1.4341,-3.1207,1.7333,0
3.019,17.7127,1.4595,-3.1035,3.7703,0
2.0019,17.6764,1.4162,-3.1002,3.809,0
0.923,17.6289,1.4643,-3.067,3.4042,0
-0.1169,17.6433,1.4745,-3.0781,5.1253,0
-1.1397,17.4886,1.5216,-3.0723,2.0445,0
-2.1189,17.7167,1.6321,3.0107,1.8868,0
-3.1629,17.8891,1.6262,3.0113,2.8041,0
-4.1891,17.9538,1.7542,-3.0553,2.685,0
-5.204,17.8902,1.7271,-3.0755,3.3448,0
-6.2242,17.7944,1.7164,-3.0707,1.3058,0
-7.2312,17.7703,1.8227,-3.0779,5.1581,0
-8.2506,17.6754,1.8144,-3.0589,4.0489,0
-9.2661,17.6201,1.8235,-3.0728,2.2965,0
-10.2782,17.7124,1.7769,3.0116,1.8861,0
-11.3275,17.8808,1.8994,2.9954,3.3931,0
-12.4071,18.032,1.932,3.1264,3.9856,0
-13.6144,18.002,1.9512,3.1101,10.9554,0
-14.6612,18.0407,2.1454,3.1045,6.1939,0
-15.7181,18.0756,2.136,3.0984,7.0288,0
-16.7938,18.1594,2.0095,3.0968,5.7839,0
-17.8043,18.1562,2.1826,3.0898,2.4842,0
-18.832,18.2492,2.2822,3.0724,4.7279,0
-19.8852,18.3266,2.2763,3.0839,2.122,0
-20.8964,18.4123,2.3438,-3.01,1.7027,0
-21.9018,18.3495,2.3654,-2.7947,2.7587,0
-22.8871,18.0618,2.3103,-2.8479,3.0993,0
-23.8922,18.0198,2.3515,-3.0671,3.9569,0
